KOTAK,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2.75,3,3,3.5,3.5,3,3.5,3,4,3
2.75,3,3,3.5,3.5,3,3.5,3,4,3
2.75,3,3,3.5,3.5,3,3.5,3,4,3
2.75,3,3,3.5,3.5,3,3.5,3,4,3
2.75,3,3,3.5,3.5,3,3.5,3,4,3
2.75,3,3,3.5,3.5,3,3.5,3,4,3
2.75,3,3,3.5,3.5,3,3.5,3,4,3
2.75,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3,3,3.5,3.5,3,3.5,3,4,3
3,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.25,3.5,3.5,3.5,4,3,3.5,3,4,3
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
3.5,4.5,4.25,4,4.5,4.5,4.5,4.5,5.25,4.05
