Tenure,General Rate,Senior Rate,Min Value,Max Value,last_updated
7 days - 14 days,3.0,3.50,7,14,2023-10-09 00:00:00
15 days - 45 days,3.5,4.00,15,45,
46 days - 90 days,5.0,5.50,46,90,
91 days - 180 days,5.0,5.50,91,180,
181 days - 210 days,5.5,6.00,181,210,
211 days - 270 days,6.0,6.50,211,270,
271 days & above and less than 1 year,6.25,6.75,635,635,
1 year,6.75,7.25,365,365,
Above 1 year - 400 days,6.75,7.25,365,400,
Above 400 days and up - 2 years,6.75,7.25,400,730,
Above 2 years and up - 3 years,7.25,7.75,730,1095,
Above 3 years and up - 5 years,6.5,7.15*,1095,1825,
Above 5 years and up - 10 years,6.5,7.50**,1825,3650,
399 days ,7.15,7.65,399,399,
